TotNumActis,TotIntScore,TotDuration,LastSleep,StreeLevel,NextDayType,OccLevel
4,3.6,420,645,5,Holiday,Relax
5,4.4,540,480,8,Workday,Busy
1,1,90,660,5,Holiday,Relax
4,3.2,330,510,8,Workday,Neutral
3,1.5,270,510,6,Workday,Relax
2,1.4,180,405,6,Weekend,Relax
3,2.8,270,660,7,Weekend,Relax
4,3.5,390,135,6,Workday,Busy
4,3.9,450,420,5,Workday,Neutral
5,4.2,960,450,5,Weekend,Busy
4,2.6,390,540,4,Workday,Neutral
5,2.4,390,405,7,Exam/study day,Relax
3,2.4,420,570,6,Weekend,Relax
6,3.8,450,690,4,Weekend,Neutral
1,0.4,60,390,8,Weekend,Relax
5,4.1,570,480,5,Holiday,Neutral
4,1.4,390,135,6,Holiday,Neutral
5,4.7,390,450,5,Workday,Busy
3,1.9,570,240,6,Holiday,Neutral
3,2.8,360,645,6,Holiday,Relax
6,3.6,360,450,6,Workday,Busy
8,6.5,840,630,5,Exam/study day,Busy
4,3.1,630,540,5,Exam/study day,Busy
5,3.3,720,570,5,Exam/study day,Busy
6,3.6,540,390,5,Exam/study day,Busy
6,2.9,690,315,4,Weekend,Busy
2,1.9,240,480,5,Workday,Relax
1,0.3,120,390,9,Holiday,Relax
3,2.3,180,525,9,Workday,Relax
6,4.4,510,450,5,Workday,Busy
2,1.7,240,465,3,Exam/study day,Relax
4,4,600,630,5,Holiday,Neutral
7,6.6,600,465,7,Workday,Busy
5,3.4,480,360,7,Exam/study day,Busy
5,4,480,390,3,Weekend,Neutral
4,1.9,480,480,6,Exam/study day,Neutral
5,4,510,465,1,Holiday,Relax
6,5.2,630,495,6,Workday,Busy
1,1,60,450,6,Workday,Relax
6,3.7,690,495,9,Workday,Busy
10,8.3,840,450,5,Exam/study day,Busy
5,2.1,810,495,7,Exam/study day,Busy
3,1.4,450,540,8,Workday,Neutral
6,4.4,480,390,8,Holiday,Busy
3,2,600,435,1,Weekend,Relax
4,3.2,450,465,6,Workday,Busy
6,3.6,450,510,9,Exam/study day,Busy
3,2.5,210,420,6,Workday,Relax
3,1.6,360,480,7,Workday,Relax
3,1.1,270,495,6,Exam/study day,Relax
1,1,60,600,7,Exam/study day,Relax
5,3.3,420,435,6,Workday,Neutral
3,1.6,180,495,3,Workday,Relax
3,1.6,300,390,4,Weekend,Relax
4,3.9,360,465,4,Workday,Neutral
2,0.5,180,390,5,Exam/study day,Relax
5,2.7,450,615,9,Workday,Neutral
3,1.8,390,450,6,Workday,Relax
5,3.3,450,555,7,Holiday,Neutral
5,3.8,360,450,6,Weekend,Neutral
3,1.2,930,600,6,Holiday,Relax
4,3.2,480,450,7,Holiday,Neutral
5,4.9,600,435,8,Holiday,Busy
4,2.7,450,480,8,Workday,Busy
1,1,120,570,7,Weekend,Relax
5,2.3,660,570,4,Weekend,Neutral
5,4,510,480,6,Workday,Neutral
4,1.8,450,345,3,Exam/study day,Neutral
7,2.9,750,480,6,Holiday,Neutral
5,3.9,690,420,7,Exam/study day,Busy
6,5,510,525,4,Workday,Busy
3,2.3,360,600,5,Exam/study day,Relax
3,2.9,630,465,6,Workday,Relax
6,4.3,690,495,5,Workday,Busy
4,1.9,390,300,7,Holiday,Neutral
3,2.4,150,480,5,Workday,Relax
7,4.9,720,375,6,Workday,Busy
4,3.5,450,495,6,Exam/study day,Neutral
6,5.9,780,435,6,Workday,Busy
5,4.1,360,540,8,Weekend,Neutral
6,5.8,720,255,8,Workday,Busy
5,3.5,780,360,4,Workday,Neutral
6,3.6,450,510,7,Holiday,Busy
4,2.4,360,465,5,Workday,Neutral
3,2.8,810,480,4,Weekend,Relax
6,3.7,540,570,6,Workday,Busy
4,2.6,300,465,6,Weekend,Relax
8,5.2,720,555,9,Holiday,Busy
5,4,540,465,6,Weekend,Neutral
5,4.2,810,615,2,Weekend,Neutral
3,2.1,450,495,7,Workday,Relax
7,6.3,510,375,4,Exam/study day,Busy
4,3.3,480,435,6,Workday,Neutral
5,3.1,600,570,7,Weekend,Neutral
4,2.6,930,435,6,Workday,Relax
3,2.4,360,390,6,Workday,Relax
6,3.5,420,465,7,Holiday,Busy
5,2.8,600,450,3,Weekend,Relax
1,0.4,120,495,6,Weekend,Relax
5,2.9,540,450,6,Workday,Neutral
4,1.9,630,420,9,Holiday,Neutral
5,3.3,810,450,7,Workday,Busy
6,4.9,720,450,4,Workday,Busy
4,3.5,540,600,5,Weekend,Neutral
6,4.3,540,675,6,Workday,Busy
5,3.2,450,495,7,Exam/study day,Neutral
1,0.4,120,345,5,Workday,Relax
7,5,630,525,5,Exam/study day,Busy
5,2.9,600,510,8,Weekend,Neutral
10,5.9,780,555,8,Workday,Busy
